tot nodes,start_node,end_node,preprocessing_time (ms),execution_time (ms),explored_nodes,space_occupation (Byte),space_preprocessing (Byte),space_query (Byte),path_weight
5000,597,3150,558604.4640541077,0.8108615875244141,88,7278712,6465616,813096,-1
5000,4726,4888,558604.4640541077,1.3079643249511719,125,7277776,6465616,812160,31
5000,4313,965,558604.4640541077,0.7669925689697266,68,7279096,6465616,813480,48
5000,1629,327,558604.4640541077,1.455068588256836,119,7277920,6465616,812304,-1
5000,3546,3785,558604.4640541077,1.1577606201171875,192,7276264,6465616,810648,44
5000,3154,2111,558604.4640541077,0.6520748138427734,22,7279456,6465616,813840,14
5000,2961,2408,558604.4640541077,1.5041828155517578,295,7273864,6465616,808248,38
5000,333,3662,558604.4640541077,0.7941722869873047,51,7278040,6465616,812424,18
5000,2003,94,558604.4640541077,0.6778240203857422,32,7279936,6465616,814320,-1
5000,1928,4153,558604.4640541077,0.6957054138183594,40,7279408,6465616,813792,28
5000,3425,2712,558604.4640541077,0.6120204925537109,16,7280320,6465616,814704,-1
5000,1744,4103,558604.4640541077,0.9610652923583984,90,7277128,6465616,811512,25
5000,4668,2731,558604.4640541077,0.7932186126708984,55,7278184,6465616,812568,28
5000,2911,1611,558604.4640541077,0.6978511810302734,29,7279120,6465616,813504,13
5000,3477,3329,558604.4640541077,1.0349750518798828,89,7276960,6465616,811344,32
5000,817,4196,558604.4640541077,0.7448196411132812,49,7278592,6465616,812976,16
5000,1941,770,558604.4640541077,0.8790493011474609,105,7278304,6465616,812688,-1
5000,2744,2502,558604.4640541077,0.8599758148193359,92,7278616,6465616,813000,25
5000,2447,472,558604.4640541077,0.9229183197021484,109,7277344,6465616,811728,44
5000,651,2937,558604.4640541077,0.9629726409912109,110,7277968,6465616,812352,39
5000,1791,4580,558604.4640541077,0.8966922760009766,90,7277512,6465616,811896,28
5000,438,2885,558604.4640541077,0.9059906005859375,123,7277896,6465616,812280,-1
5000,398,4638,558604.4640541077,0.7698535919189453,83,7278736,6465616,813120,20
5000,125,808,558604.4640541077,0.7960796356201172,82,7278760,6465616,813144,44
5000,3488,1893,558604.4640541077,0.7889270782470703,65,7278304,6465616,812688,21
5000,4026,4874,558604.4640541077,0.5712509155273438,8,7280080,6465616,814464,7
5000,3881,2553,558604.4640541077,0.7328987121582031,56,7279384,6465616,813768,42
5000,2028,4916,558604.4640541077,0.5528926849365234,8,7280512,6465616,814896,-1
5000,2090,1883,558604.4640541077,2.0568370819091797,467,7269976,6465616,804360,-1
5000,2152,203,558604.4640541077,0.7309913635253906,59,7278808,6465616,813192,28
5000,1449,1439,558604.4640541077,0.5669593811035156,8,7280224,6465616,814608,11
5000,343,1126,558604.4640541077,0.9510517120361328,149,7277224,6465616,811608,-1
5000,952,1061,558604.4640541077,0.9500980377197266,112,7276696,6465616,811080,31
5000,1990,4973,558604.4640541077,0.9930133819580078,155,7277080,6465616,811464,38
5000,4551,2598,558604.4640541077,0.5729198455810547,17,7280296,6465616,814680,-1
5000,1237,3095,558604.4640541077,0.8099079132080078,100,7278376,6465616,812760,-1
5000,21,3742,558604.4640541077,0.9379386901855469,121,7277272,6465616,811656,57
5000,1501,3230,558604.4640541077,1.3642311096191406,284,7274176,6465616,808560,43
5000,2090,4661,558604.4640541077,0.8718967437744141,95,7277080,6465616,811464,21
5000,190,950,558604.4640541077,0.6167888641357422,19,7279624,6465616,814008,16
5000,1190,4521,558604.4640541077,0.7081031799316406,60,7278904,6465616,813288,36
5000,2737,139,558604.4640541077,0.6518363952636719,46,7279624,6465616,814008,-1
5000,4344,398,558604.4640541077,0.61798095703125,33,7279912,6465616,814296,-1
5000,3156,3105,558604.4640541077,0.7860660552978516,74,7279000,6465616,813384,51
5000,3392,556,558604.4640541077,1.024007797241211,118,7277584,6465616,811968,49
5000,3341,2882,558604.4640541077,0.9980201721191406,129,7277680,6465616,812064,42
5000,991,340,558604.4640541077,0.5791187286376953,8,7280512,6465616,814896,-1
5000,4345,459,558604.4640541077,0.7007122039794922,31,7279984,6465616,814368,-1
5000,492,2265,558604.4640541077,1.0762214660644531,135,7277464,6465616,811848,62
5000,3137,582,558604.4640541077,0.7078647613525391,37,7279864,6465616,814248,-1
5000,2399,730,558604.4640541077,0.9799003601074219,98,7277344,6465616,811728,29
5000,1972,463,558604.4640541077,0.7431507110595703,54,7279264,6465616,813648,40
5000,3848,333,558604.4640541077,1.3501644134521484,250,7275040,6465616,809424,32
5000,3418,4806,558604.4640541077,0.5478858947753906,5,7280584,6465616,814968,-1
5000,4849,3364,558604.4640541077,0.6420612335205078,36,7279696,6465616,814080,38
5000,809,1729,558604.4640541077,0.6532669067382812,31,7279288,6465616,813672,19
5000,2515,4736,558604.4640541077,0.7350444793701172,31,7279960,6465616,814344,-1
5000,4866,422,558604.4640541077,1.0151863098144531,100,7277392,6465616,811776,38
5000,2932,1237,558604.4640541077,0.5648136138916016,2,7280656,6465616,815040,-1
5000,4846,2236,558604.4640541077,0.5931854248046875,2,7280656,6465616,815040,-1
5000,2983,2235,558604.4640541077,1.0628700256347656,147,7277464,6465616,811848,-1
5000,2699,1596,558604.4640541077,1.1298656463623047,58,7278448,6465616,812832,27
5000,4511,2609,558604.4640541077,0.7932186126708984,53,7278736,6465616,813120,23
5000,77,4681,558604.4640541077,1.0488033294677734,153,7277200,6465616,811584,-1
5000,694,2431,558604.4640541077,0.7359981536865234,39,7278544,6465616,812928,14
5000,65,624,558604.4640541077,1.2688636779785156,183,7276384,6465616,810768,83
5000,857,765,558604.4640541077,0.7371902465820312,50,7278664,6465616,813048,26
5000,3754,3431,558604.4640541077,0.6978511810302734,36,7279840,6465616,814224,-1
5000,1161,1380,558604.4640541077,1.5420913696289062,299,7273792,6465616,808176,-1
5000,4523,639,558604.4640541077,0.9789466857910156,75,7278136,6465616,812520,34
5000,3558,1382,558604.4640541077,0.6709098815917969,18,7280272,6465616,814656,-1
5000,1242,3747,558604.4640541077,1.1851787567138672,135,7276696,6465616,811080,48
5000,187,772,558604.4640541077,0.7469654083251953,34,7279888,6465616,814272,-1
5000,4102,1561,558604.4640541077,1.497030258178711,242,7275160,6465616,809544,39
5000,4807,1636,558604.4640541077,0.9210109710693359,83,7277848,6465616,812232,37
5000,2957,3295,558604.4640541077,0.7271766662597656,39,7278952,6465616,813336,22
5000,1340,1603,558604.4640541077,0.61798095703125,8,7280512,6465616,814896,-1
5000,39,4842,558604.4640541077,0.5769729614257812,12,7280416,6465616,814800,-1
5000,542,4656,558604.4640541077,0.7708072662353516,61,7278616,6465616,813000,31
5000,4740,928,558604.4640541077,1.3659000396728516,220,7273360,6465616,807744,38
5000,2458,1313,558604.4640541077,0.5857944488525391,20,7280224,6465616,814608,-1
5000,4425,1557,558604.4640541077,0.7050037384033203,32,7279936,6465616,814320,-1
5000,162,2407,558604.4640541077,1.283884048461914,244,7275040,6465616,809424,-1
5000,4213,105,558604.4640541077,1.2710094451904297,221,7275544,6465616,809928,55
5000,1758,4679,558604.4640541077,0.57220458984375,15,7280344,6465616,814728,-1
5000,1810,240,558604.4640541077,0.5788803100585938,11,7280440,6465616,814824,-1
5000,1412,218,558604.4640541077,0.7419586181640625,65,7279288,6465616,813672,43
5000,104,4169,558604.4640541077,2.177000045776367,475,7270072,6465616,804456,21
5000,3285,3014,558604.4640541077,0.8189678192138672,73,7277704,6465616,812088,20
5000,4029,2739,558604.4640541077,0.6010532379150391,15,7280344,6465616,814728,-1
5000,3333,1807,558604.4640541077,0.6620883941650391,40,7279768,6465616,814152,-1
5000,138,672,558604.4640541077,0.7028579711914062,58,7279312,6465616,813696,61
5000,2325,2483,558604.4640541077,0.659942626953125,23,7279624,6465616,814008,11
5000,2049,1683,558604.4640541077,0.7460117340087891,52,7278592,6465616,812976,22
5000,3992,4108,558604.4640541077,1.092672348022461,179,7276552,6465616,810936,-1
5000,1355,1680,558604.4640541077,0.637054443359375,37,7279816,6465616,814200,-1
5000,939,3889,558604.4640541077,0.6551742553710938,13,7279744,6465616,814128,11
5000,420,4886,558604.4640541077,0.7522106170654297,64,7279240,6465616,813624,-1
5000,2670,3640,558604.4640541077,0.9431838989257812,120,7276744,6465616,811128,31
5000,4949,284,558604.4640541077,1.1680126190185547,194,7276216,6465616,810600,-1
5000,2351,1311,558604.4640541077,0.8478164672851562,88,7277536,6465616,811920,32
5000,310,134,558604.4640541077,1.0399818420410156,164,7276864,6465616,811248,-1
