tot nodes,start_node,end_node,preprocessing_time (ms),execution_time (ms),explored_nodes,space_occupation (Byte),space_preprocessing (Byte),space_query (Byte),graph_name
50,8,22,24.533987045288086,0.0171661376953125,7,29352,19792,9560,Random_50
50,4,15,24.533987045288086,0.015974044799804688,5,29400,19792,9608,Random_50
50,23,18,24.533987045288086,0.023126602172851562,9,29304,19792,9512,Random_50
50,10,28,24.533987045288086,0.018358230590820312,6,29376,19792,9584,Random_50
50,34,45,24.533987045288086,0.025272369384765625,11,29256,19792,9464,Random_50
50,19,39,24.533987045288086,0.011920928955078125,4,29424,19792,9632,Random_50
50,41,33,24.533987045288086,0.0152587890625,4,29352,19792,9560,Random_50
50,0,42,24.533987045288086,0.014066696166992188,3,29352,19792,9560,Random_50
50,35,19,24.533987045288086,0.03314018249511719,15,29184,19792,9392,Random_50
50,42,6,24.533987045288086,0.03504753112792969,15,29112,19792,9320,Random_50
50,8,16,24.533987045288086,0.022172927856445312,8,29328,19792,9536,Random_50
50,7,6,24.533987045288086,0.012636184692382812,2,29328,19792,9536,Random_50
50,47,35,24.533987045288086,0.03409385681152344,15,29160,19792,9368,Random_50
50,9,17,24.533987045288086,0.03814697265625,17,29112,19792,9320,Random_50
50,18,38,24.533987045288086,0.0438690185546875,19,29112,19792,9320,Random_50
50,13,45,24.533987045288086,0.020265579223632812,9,29304,19792,9512,Random_50
50,21,13,24.533987045288086,0.0209808349609375,8,29328,19792,9536,Random_50
50,43,40,24.533987045288086,0.016927719116210938,4,29280,19792,9488,Random_50
50,16,32,24.533987045288086,0.026702880859375,9,29208,19792,9416,Random_50
50,31,16,24.533987045288086,0.029087066650390625,10,29208,19792,9416,Random_50
50,3,5,24.533987045288086,0.010013580322265625,2,29424,19792,9632,Random_50
50,40,27,24.533987045288086,0.0247955322265625,10,29280,19792,9488,Random_50
50,17,2,24.533987045288086,0.017881393432617188,7,29352,19792,9560,Random_50
50,0,21,24.533987045288086,0.026941299438476562,11,29208,19792,9416,Random_50
50,49,8,24.533987045288086,0.030994415283203125,13,29208,19792,9416,Random_50
50,40,16,24.533987045288086,0.028133392333984375,10,29232,19792,9440,Random_50
50,10,47,24.533987045288086,0.0152587890625,6,29376,19792,9584,Random_50
50,28,35,24.533987045288086,0.033855438232421875,15,29160,19792,9368,Random_50
50,45,27,24.533987045288086,0.025033950805664062,11,29256,19792,9464,Random_50
50,35,0,24.533987045288086,0.019073486328125,5,29256,19792,9464,Random_50
50,7,4,24.533987045288086,0.03266334533691406,15,29160,19792,9368,Random_50
50,44,9,24.533987045288086,0.027894973754882812,10,29208,19792,9416,Random_50
50,34,2,24.533987045288086,0.022172927856445312,9,29304,19792,9512,Random_50
50,23,37,24.533987045288086,0.019073486328125,7,29352,19792,9560,Random_50
50,35,9,24.533987045288086,0.04076957702636719,16,29040,19792,9248,Random_50
50,27,8,24.533987045288086,0.015020370483398438,6,29376,19792,9584,Random_50
50,2,19,24.533987045288086,0.02193450927734375,9,29304,19792,9512,Random_50
50,23,2,24.533987045288086,0.026226043701171875,11,29256,19792,9464,Random_50
50,22,13,24.533987045288086,0.014066696166992188,5,29400,19792,9608,Random_50
50,43,15,24.533987045288086,0.03504753112792969,16,29136,19792,9344,Random_50
50,42,6,24.533987045288086,0.13685226440429688,15,29112,19792,9320,Random_50
50,22,49,24.533987045288086,0.028133392333984375,9,29208,19792,9416,Random_50
50,35,26,24.533987045288086,0.030040740966796875,13,29232,19792,9440,Random_50
50,39,47,24.533987045288086,0.013828277587890625,5,29400,19792,9608,Random_50
50,9,15,24.533987045288086,0.0209808349609375,6,29256,19792,9464,Random_50
50,10,11,24.533987045288086,0.014066696166992188,4,29376,19792,9584,Random_50
50,26,1,24.533987045288086,0.015974044799804688,6,29376,19792,9584,Random_50
50,11,47,24.533987045288086,0.02002716064453125,8,29328,19792,9536,Random_50
50,21,26,24.533987045288086,0.0209808349609375,8,29328,19792,9536,Random_50
50,42,47,24.533987045288086,0.0209808349609375,9,29304,19792,9512,Random_50
50,15,17,24.533987045288086,0.012636184692382812,4,29424,19792,9632,Random_50
50,10,44,24.533987045288086,0.013828277587890625,5,29400,19792,9608,Random_50
50,6,24,24.533987045288086,0.030994415283203125,14,29184,19792,9392,Random_50
50,2,30,24.533987045288086,0.028133392333984375,12,29232,19792,9440,Random_50
50,14,12,24.533987045288086,0.0152587890625,3,29304,19792,9512,Random_50
50,29,22,24.533987045288086,0.014066696166992188,5,29400,19792,9608,Random_50
50,19,14,24.533987045288086,0.01811981201171875,7,29352,19792,9560,Random_50
50,14,1,24.533987045288086,0.023126602172851562,10,29304,19792,9512,Random_50
50,42,12,24.533987045288086,0.0209808349609375,6,29280,19792,9488,Random_50
50,25,21,24.533987045288086,0.030279159545898438,11,29208,19792,9416,Random_50
50,17,4,24.533987045288086,0.010013580322265625,3,29448,19792,9656,Random_50
